variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0017480199999226897,8,3,11,0,8,8,"{""unitary"": 8}",0.0,3.885780586188048e-16,8.852075467688538e-16,4.426037733844269e-16,True,0.003231889000062438,2625,4213,758,"{""rz"": 2111, ""sx"": 1344, ""cx"": 758}",0.27863350799998443,4000,32,0.03036404258893852,0.01892842276481055,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1458, ""frequency"": 0.3645}, {""bitstring_site_order"": ""00000001"", ""count"": 842, ""frequency"": 0.2105}, {""bitstring_site_order"": ""00000000"", ""count"": 782, ""frequency"": 0.1955}, {""bitstring_site_order"": ""00001001"", ""count"": 365, ""frequency"": 0.09125}, {""bitstring_site_order"": ""00000100"", ""count"": 145, ""frequency"": 0.03625}]",0.04806088300006195,ok
no_reuse_isometry,isometry,False,,0.0007051899999623856,8,3,11,0,8,8,"{""isometry"": 8}",1.2826893025229834e-31,8.19455614475828e-13,1.683908444880863e-12,8.419542224404315e-13,True,0.13530073800006903,1580,1880,412,"{""rz"": 874, ""sx"": 513, ""cx"": 412, ""x"": 81}",0.11707769700001336,4000,37,0.02890298658824119,0.009230640947604951,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1352, ""frequency"": 0.338}, {""bitstring_site_order"": ""00000001"", ""count"": 908, ""frequency"": 0.227}, {""bitstring_site_order"": ""00000000"", ""count"": 745, ""frequency"": 0.18625}, {""bitstring_site_order"": ""00001001"", ""count"": 384, ""frequency"": 0.096}, {""bitstring_site_order"": ""00000100"", ""count"": 156, ""frequency"": 0.039}]",0.14877791899994008,ok
reuse_unitary,unitary,True,,0.0017932749999545194,8,3,4,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,2672,4228,758,"{""rz"": 2111, ""sx"": 1344, ""cx"": 758, ""measure"": 8, ""reset"": 7}",0.026578626999935295,4000,35,0.01797715688358022,0.0050193590523950615,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1401, ""frequency"": 0.35025}, {""bitstring_site_order"": ""00000001"", ""count"": 851, ""frequency"": 0.21275}, {""bitstring_site_order"": ""00000000"", ""count"": 748, ""frequency"": 0.187}, {""bitstring_site_order"": ""00001001"", ""count"": 406, ""frequency"": 0.1015}, {""bitstring_site_order"": ""00000100"", ""count"": 128, ""frequency"": 0.032}]",0.058212471999922855,ok
reuse_isometry,isometry,True,,0.0006584239999938291,8,3,4,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,1583,1895,412,"{""rz"": 874, ""sx"": 513, ""cx"": 412, ""x"": 81, ""measure"": 8, ""reset"": 7}",0.1167060190000484,4000,33,0.02221998721180589,0.015230640947604956,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1382, ""frequency"": 0.3455}, {""bitstring_site_order"": ""00000001"", ""count"": 932, ""frequency"": 0.233}, {""bitstring_site_order"": ""00000000"", ""count"": 755, ""frequency"": 0.18875}, {""bitstring_site_order"": ""00001001"", ""count"": 380, ""frequency"": 0.095}, {""bitstring_site_order"": ""00000100"", ""count"": 145, ""frequency"": 0.03625}]",0.1594982629999322,ok
