variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0025487259999863454,14,2,16,0,14,14,"{""unitary"": 14}",0.0,3.469446951953614e-16,2.0399106590053426e-15,1.0199553295026713e-15,True,0.3725725330000387,977,1649,266,"{""rz"": 830, ""sx"": 553, ""cx"": 266}",0.24968502399997305,4000,158,0.05251101128632687,0.004922812233897504,1.0119288512538813,"[{""bitstring_site_order"": ""00100011000000"", ""count"": 591, ""frequency"": 0.14775}, {""bitstring_site_order"": ""00000011000000"", ""count"": 560, ""frequency"": 0.14}, {""bitstring_site_order"": ""00100000000110"", ""count"": 462, ""frequency"": 0.1155}, {""bitstring_site_order"": ""00100000000000"", ""count"": 262, ""frequency"": 0.0655}, {""bitstring_site_order"": ""00000000000110"", ""count"": 241, ""frequency"": 0.06025}]",0.07402451200005089,ok
no_reuse_isometry,isometry,False,,0.001047717000119519,14,2,16,0,14,14,"{""isometry"": 14}",1.2450175852952223e-31,1.176836406102666e-14,1.0729745728864283e-13,5.364872864432142e-14,True,1.1055213510001067,883,1211,256,"{""rz"": 550, ""sx"": 356, ""cx"": 256, ""x"": 49}",0.10164061000000402,4000,189,0.05896577875383481,0.010049999667856885,1.0119288512538813,"[{""bitstring_site_order"": ""00000011000000"", ""count"": 593, ""frequency"": 0.14825}, {""bitstring_site_order"": ""00100011000000"", ""count"": 545, ""frequency"": 0.13625}, {""bitstring_site_order"": ""00100000000110"", ""count"": 477, ""frequency"": 0.11925}, {""bitstring_site_order"": ""00100000000000"", ""count"": 245, ""frequency"": 0.06125}, {""bitstring_site_order"": ""00000000000110"", ""count"": 241, ""frequency"": 0.06025}]",0.25093869900001664,ok
reuse_unitary,unitary,True,,0.0025912389999120933,14,2,3,14,41,41,"{""unitary"": 14, ""measure"": 14, ""reset"": 13}",,,,,,,1066,1676,266,"{""rz"": 830, ""sx"": 553, ""cx"": 266, ""measure"": 14, ""reset"": 13}",0.01261785199994847,4000,171,0.0565533044307686,0.007814243051462472,1.0119288512538813,"[{""bitstring_site_order"": ""00000011000000"", ""count"": 597, ""frequency"": 0.14925}, {""bitstring_site_order"": ""00100011000000"", ""count"": 587, ""frequency"": 0.14675}, {""bitstring_site_order"": ""00100000000110"", ""count"": 438, ""frequency"": 0.1095}, {""bitstring_site_order"": ""00100000000000"", ""count"": 258, ""frequency"": 0.0645}, {""bitstring_site_order"": ""00000000000110"", ""count"": 242, ""frequency"": 0.0605}]",0.09694155800002591,ok
reuse_isometry,isometry,True,,0.0010510070001146232,14,2,3,14,41,41,"{""isometry"": 14, ""measure"": 14, ""reset"": 13}",,,,,,,887,1238,256,"{""rz"": 550, ""sx"": 356, ""cx"": 256, ""x"": 49, ""measure"": 14, ""reset"": 13}",0.09966759899998578,4000,176,0.05768987419445182,0.007663128743003664,1.0119288512538813,"[{""bitstring_site_order"": ""00000011000000"", ""count"": 575, ""frequency"": 0.14375}, {""bitstring_site_order"": ""00100011000000"", ""count"": 561, ""frequency"": 0.14025}, {""bitstring_site_order"": ""00100000000110"", ""count"": 420, ""frequency"": 0.105}, {""bitstring_site_order"": ""00100000000000"", ""count"": 259, ""frequency"": 0.06475}, {""bitstring_site_order"": ""00000000000110"", ""count"": 230, ""frequency"": 0.0575}]",0.1851011030000791,ok
