variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.005393467999965651,4,2,6,0,4,4,"{""unitary"": 4}",0.0,3.3306690738754696e-16,3.7686867515596134e-16,1.8843433757798067e-16,True,0.0009429599999748461,278,465,76,"{""rz"": 232, ""sx"": 155, ""cx"": 76, ""x"": 2}",0.44039170100006686,4000,14,0.005612503808197673,0.0022512275477546417,0.03162277660168379,"[{""bitstring_site_order"": ""0000"", ""count"": 3442, ""frequency"": 0.8605}, {""bitstring_site_order"": ""0001"", ""count"": 178, ""frequency"": 0.0445}, {""bitstring_site_order"": ""0010"", ""count"": 159, ""frequency"": 0.03975}, {""bitstring_site_order"": ""1000"", ""count"": 89, ""frequency"": 0.02225}, {""bitstring_site_order"": ""1001"", ""count"": 54, ""frequency"": 0.0135}]",0.04860949500005063,ok
no_reuse_isometry,isometry,False,,0.0004975630000672027,4,2,6,0,4,4,"{""isometry"": 4}",1.7866195534282066e-31,8.326672684688674e-15,9.569114164248438e-15,4.784557082124219e-15,True,0.014265689000012571,105,149,27,"{""rz"": 73, ""sx"": 45, ""cx"": 27, ""x"": 4}",0.01689062599996305,4000,15,0.009829104618616401,0.008251227547754647,0.03162277660168379,"[{""bitstring_site_order"": ""0000"", ""count"": 3466, ""frequency"": 0.8665}, {""bitstring_site_order"": ""0010"", ""count"": 165, ""frequency"": 0.04125}, {""bitstring_site_order"": ""0001"", ""count"": 162, ""frequency"": 0.0405}, {""bitstring_site_order"": ""1000"", ""count"": 87, ""frequency"": 0.02175}, {""bitstring_site_order"": ""0100"", ""count"": 45, ""frequency"": 0.01125}]",0.05161087499993755,ok
reuse_unitary,unitary,True,,0.0007945669999571692,4,2,3,4,11,11,"{""unitary"": 4, ""measure"": 4, ""reset"": 3}",,,,,,,296,472,76,"{""rz"": 232, ""sx"": 155, ""cx"": 76, ""measure"": 4, ""reset"": 3, ""x"": 2}",0.005847101000085786,4000,15,0.009535183550866154,0.005839401038573534,0.03162277660168379,"[{""bitstring_site_order"": ""0000"", ""count"": 3420, ""frequency"": 0.855}, {""bitstring_site_order"": ""0001"", ""count"": 194, ""frequency"": 0.0485}, {""bitstring_site_order"": ""0010"", ""count"": 158, ""frequency"": 0.0395}, {""bitstring_site_order"": ""1000"", ""count"": 108, ""frequency"": 0.027}, {""bitstring_site_order"": ""1001"", ""count"": 49, ""frequency"": 0.01225}]",0.05145308799990289,ok
reuse_isometry,isometry,True,,0.0003471069999250176,4,2,3,4,11,11,"{""isometry"": 4, ""measure"": 4, ""reset"": 3}",,,,,,,108,156,27,"{""rz"": 73, ""sx"": 45, ""cx"": 27, ""measure"": 4, ""x"": 4, ""reset"": 3}",0.015565161000040462,4000,14,0.007632542408430077,0.003398469606226563,0.03162277660168379,"[{""bitstring_site_order"": ""0000"", ""count"": 3443, ""frequency"": 0.86075}, {""bitstring_site_order"": ""0010"", ""count"": 167, ""frequency"": 0.04175}, {""bitstring_site_order"": ""0001"", ""count"": 163, ""frequency"": 0.04075}, {""bitstring_site_order"": ""1000"", ""count"": 82, ""frequency"": 0.0205}, {""bitstring_site_order"": ""1001"", ""count"": 58, ""frequency"": 0.0145}]",0.06344761399998333,ok
