variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.00214882199998101,12,2,14,0,12,12,"{""unitary"": 12}",0.0,1.0061396160665481e-16,2.7198057179290984e-15,1.3599028589645492e-15,True,0.10529556399978901,837,1414,228,"{""rz"": 711, ""sx"": 474, ""cx"": 228, ""x"": 1}",0.2587020510000002,4000,521,0.1302616101479352,0.006452240880130838,0.5059644256269407,"[{""bitstring_site_order"": ""110110100000"", ""count"": 127, ""frequency"": 0.03175}, {""bitstring_site_order"": ""110110000011"", ""count"": 111, ""frequency"": 0.02775}, {""bitstring_site_order"": ""110111100000"", ""count"": 110, ""frequency"": 0.0275}, {""bitstring_site_order"": ""110111000011"", ""count"": 103, ""frequency"": 0.02575}, {""bitstring_site_order"": ""110000000011"", ""count"": 101, ""frequency"": 0.02525}]",0.06263101900003676,ok
no_reuse_isometry,isometry,False,,0.0010749500002020795,12,2,14,0,12,12,"{""isometry"": 12}",1.0276227158557313e-31,1.9567680809018384e-15,6.77949226470304e-14,3.38974613235152e-14,True,0.34814851400005864,701,978,205,"{""rz"": 446, ""sx"": 285, ""cx"": 205, ""x"": 42}",0.08138455499965858,4000,511,0.12840119446461523,0.004130135569244851,0.5059644256269407,"[{""bitstring_site_order"": ""110111000011"", ""count"": 124, ""frequency"": 0.031}, {""bitstring_site_order"": ""110110000011"", ""count"": 114, ""frequency"": 0.0285}, {""bitstring_site_order"": ""110111100000"", ""count"": 113, ""frequency"": 0.02825}, {""bitstring_site_order"": ""110110100000"", ""count"": 105, ""frequency"": 0.02625}, {""bitstring_site_order"": ""110000000011"", ""count"": 101, ""frequency"": 0.02525}]",0.1448893050001061,ok
reuse_unitary,unitary,True,,0.002216800000041985,12,2,3,12,35,35,"{""unitary"": 12, ""measure"": 12, ""reset"": 11}",,,,,,,912,1437,228,"{""rz"": 711, ""sx"": 474, ""cx"": 228, ""measure"": 12, ""reset"": 11, ""x"": 1}",0.010747997999715153,4000,528,0.13269784979839372,0.0055477591198691625,0.5059644256269407,"[{""bitstring_site_order"": ""110111000011"", ""count"": 112, ""frequency"": 0.028}, {""bitstring_site_order"": ""110110000011"", ""count"": 110, ""frequency"": 0.0275}, {""bitstring_site_order"": ""110000000011"", ""count"": 108, ""frequency"": 0.027}, {""bitstring_site_order"": ""110111100000"", ""count"": 99, ""frequency"": 0.02475}, {""bitstring_site_order"": ""001110111100"", ""count"": 89, ""frequency"": 0.02225}]",0.07587346199989042,ok
reuse_isometry,isometry,True,,0.0008281759996862093,12,2,3,12,35,35,"{""isometry"": 12, ""measure"": 12, ""reset"": 11}",,,,,,,704,1001,205,"{""rz"": 446, ""sx"": 285, ""cx"": 205, ""x"": 42, ""measure"": 12, ""reset"": 11}",0.08125272100005532,4000,516,0.14030957305305672,0.005177490958273386,0.5059644256269407,"[{""bitstring_site_order"": ""110111000011"", ""count"": 128, ""frequency"": 0.032}, {""bitstring_site_order"": ""110110100000"", ""count"": 113, ""frequency"": 0.02825}, {""bitstring_site_order"": ""110111100000"", ""count"": 99, ""frequency"": 0.02475}, {""bitstring_site_order"": ""110000000011"", ""count"": 99, ""frequency"": 0.02475}, {""bitstring_site_order"": ""110110000011"", ""count"": 94, ""frequency"": 0.0235}]",0.14719606399967233,ok
