threshold_name,threshold,tp,fp,fn,tn,precision,recall,f1,fpr
p94.5,11.320362,10843,699,1990,9012,0.939439,0.844931,0.889682,0.071980
p99,16.060794,8280,275,4553,9436,0.967855,0.645212,0.774266,0.028318
