variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0017405779999535298,8,2,10,0,8,8,"{""unitary"": 8}",0.0,5.551115123125783e-16,1.1259513980119564e-15,5.629756990059782e-16,True,0.00325247999990097,560,948,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""x"": 1}",0.2771383950002928,4000,37,0.019817195875814722,0.012585286471607282,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1319, ""frequency"": 0.32975}, {""bitstring_site_order"": ""00000001"", ""count"": 872, ""frequency"": 0.218}, {""bitstring_site_order"": ""00000000"", ""count"": 799, ""frequency"": 0.19975}, {""bitstring_site_order"": ""00001001"", ""count"": 402, ""frequency"": 0.1005}, {""bitstring_site_order"": ""00000100"", ""count"": 130, ""frequency"": 0.0325}]",0.04927094600043347,ok
no_reuse_isometry,isometry,False,,0.0007395440006803256,8,2,10,0,8,8,"{""isometry"": 8}",1.0011901698207749e-31,1.887379141862766e-14,4.649236010828508e-14,2.324618005414254e-14,True,0.057515401000273414,410,565,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22}",0.05155653699966933,4000,30,0.019214244043781973,0.005872300401005004,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1354, ""frequency"": 0.3385}, {""bitstring_site_order"": ""00000001"", ""count"": 848, ""frequency"": 0.212}, {""bitstring_site_order"": ""00000000"", ""count"": 765, ""frequency"": 0.19125}, {""bitstring_site_order"": ""00001001"", ""count"": 417, ""frequency"": 0.10425}, {""bitstring_site_order"": ""00000100"", ""count"": 123, ""frequency"": 0.03075}]",0.0874781950005854,ok
reuse_unitary,unitary,True,,0.0015844899999137851,8,2,3,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,609,963,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""measure"": 8, ""reset"": 7, ""x"": 1}",0.00855325999964407,4000,34,0.030969865639689797,0.015377699598995015,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1331, ""frequency"": 0.33275}, {""bitstring_site_order"": ""00000001"", ""count"": 933, ""frequency"": 0.23325}, {""bitstring_site_order"": ""00000000"", ""count"": 744, ""frequency"": 0.186}, {""bitstring_site_order"": ""00001001"", ""count"": 410, ""frequency"": 0.1025}, {""bitstring_site_order"": ""00000100"", ""count"": 135, ""frequency"": 0.03375}]",0.05989795099958428,ok
reuse_isometry,isometry,True,,0.0006712670001434162,8,2,3,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,413,580,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22, ""measure"": 8, ""reset"": 7}",0.05059949299993605,4000,39,0.01824869571619326,0.008122300401005006,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1381, ""frequency"": 0.34525}, {""bitstring_site_order"": ""00000001"", ""count"": 839, ""frequency"": 0.20975}, {""bitstring_site_order"": ""00000000"", ""count"": 764, ""frequency"": 0.191}, {""bitstring_site_order"": ""00001001"", ""count"": 416, ""frequency"": 0.104}, {""bitstring_site_order"": ""00000100"", ""count"": 137, ""frequency"": 0.03425}]",0.09811961299965333,ok
