variant,synthesis,reuse,n_transpile_seeds,transpile_seeds,per_transpile_seed,N_sites,N_sites_std,abstract_2q,abstract_2q_std,abstract_depth,abstract_depth_std,abstract_seconds,abstract_seconds_std,b_max,b_max_std,device_2q,device_2q_std,device_depth,device_depth_std,device_physical_qubits,device_physical_qubits_std,device_qubits_used,device_qubits_used_std,device_seconds,device_seconds_std,high_level_depth,high_level_depth_std,logical_qubits,logical_qubits_std,routing_inflation_2q,routing_inflation_2q_std,routing_overhead_2q,routing_overhead_2q_std
no_reuse_unitary,unitary,False,5,"[0, 1, 2, 3, 4]","[{'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 0, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 758, 'abstract_depth': 2626, 'abstract_seconds': 0.0332154729985632, 'device_2q': 1778, 'device_depth': 6008, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.10274673200001416, 'routing_inflation_2q': 2.346, 'routing_overhead_2q': 1020}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 1, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 758, 'abstract_depth': 2626, 'abstract_seconds': 0.023803057001714478, 'device_2q': 1775, 'device_depth': 6039, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.10486636500172608, 'routing_inflation_2q': 2.342, 'routing_overhead_2q': 1017}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 2, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 758, 'abstract_depth': 2626, 'abstract_seconds': 0.022831393998785643, 'device_2q': 1771, 'device_depth': 6063, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.09901246299887134, 'routing_inflation_2q': 2.336, 'routing_overhead_2q': 1013}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 3, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 758, 'abstract_depth': 2626, 'abstract_seconds': 0.02308197599995765, 'device_2q': 1772, 'device_depth': 6070, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.0991362240001763, 'routing_inflation_2q': 2.338, 'routing_overhead_2q': 1014}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 4, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 758, 'abstract_depth': 2626, 'abstract_seconds': 0.02323135100050422, 'device_2q': 1772, 'device_depth': 6023, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.09936560500136693, 'routing_inflation_2q': 2.338, 'routing_overhead_2q': 1014}]",8,0.0,758,0.0,2626,0.0,0.02523265019990504,0.004476768530155019,3,0.0,1773.6,2.8809720581775866,6040.6,26.17823523463719,156,0.0,11,0.0,0.10102547780043096,0.002650085693652326,9,0.0,11,0.0,2.3400000000000007,0.004000000000000059,1015.6,2.8809720581775866
no_reuse_isometry,isometry,False,5,"[0, 1, 2, 3, 4]","[{'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 0, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 412, 'abstract_depth': 1581, 'abstract_seconds': 0.11043923600118433, 'device_2q': 812, 'device_depth': 2741, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.20670056200106046, 'routing_inflation_2q': 1.971, 'routing_overhead_2q': 400}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 1, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 412, 'abstract_depth': 1581, 'abstract_seconds': 0.1103029650003009, 'device_2q': 754, 'device_depth': 2669, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.14327403099923686, 'routing_inflation_2q': 1.83, 'routing_overhead_2q': 342}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 2, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 412, 'abstract_depth': 1581, 'abstract_seconds': 0.11034040199956507, 'device_2q': 751, 'device_depth': 2628, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.14892828799929703, 'routing_inflation_2q': 1.823, 'routing_overhead_2q': 339}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 3, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 412, 'abstract_depth': 1581, 'abstract_seconds': 0.11085067199928744, 'device_2q': 675, 'device_depth': 2463, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.14472743300029833, 'routing_inflation_2q': 1.638, 'routing_overhead_2q': 263}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 4, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 11, 'high_level_depth': 9, 'abstract_2q': 412, 'abstract_depth': 1581, 'abstract_seconds': 0.11610281499997654, 'device_2q': 743, 'device_depth': 2596, 'device_physical_qubits': 156, 'device_qubits_used': 11, 'device_seconds': 0.14312106699981086, 'routing_inflation_2q': 1.803, 'routing_overhead_2q': 331}]",8,0.0,412,0.0,1581,0.0,0.11160721800006286,0.0025225401311541,3,0.0,747.0,48.708315511830214,2619.4,102.8703066973167,156,0.0,11,0.0,0.15735027619994071,0.027687216534703064,9,0.0,11,0.0,1.8130000000000002,0.11840396952805263,335.0,48.708315511830214
reuse_unitary,unitary,True,5,"[0, 1, 2, 3, 4]","[{'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 0, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 758, 'abstract_depth': 2672, 'abstract_seconds': 0.023149167998781195, 'device_2q': 1456, 'device_depth': 5405, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.07691808299932745, 'routing_inflation_2q': 1.921, 'routing_overhead_2q': 698}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 1, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 758, 'abstract_depth': 2672, 'abstract_seconds': 0.02300112699958845, 'device_2q': 1456, 'device_depth': 5405, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.07720109099864203, 'routing_inflation_2q': 1.921, 'routing_overhead_2q': 698}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 2, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 758, 'abstract_depth': 2672, 'abstract_seconds': 0.02248978299940063, 'device_2q': 1460, 'device_depth': 5413, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.09147989399934886, 'routing_inflation_2q': 1.926, 'routing_overhead_2q': 702}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 3, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 758, 'abstract_depth': 2672, 'abstract_seconds': 0.022255500000028405, 'device_2q': 1460, 'device_depth': 5413, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.09141677699881257, 'routing_inflation_2q': 1.926, 'routing_overhead_2q': 702}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 4, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 758, 'abstract_depth': 2672, 'abstract_seconds': 0.022561454999959096, 'device_2q': 1460, 'device_depth': 5413, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.08894706399951247, 'routing_inflation_2q': 1.926, 'routing_overhead_2q': 702}]",8,0.0,758,0.0,2672,0.0,0.022691406599551555,0.0003718286845800045,3,0.0,1458.4,2.1908902300206647,5409.8,4.3817804600413295,156,0.0,4,0.0,0.08519258179912867,0.007494969859545448,23,0.0,4,0.0,1.924,0.002738612787525772,700.4,2.1908902300206643
reuse_isometry,isometry,True,5,"[0, 1, 2, 3, 4]","[{'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 0, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 412, 'abstract_depth': 1583, 'abstract_seconds': 0.11769793399980699, 'device_2q': 606, 'device_depth': 2357, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.14117237000027671, 'routing_inflation_2q': 1.471, 'routing_overhead_2q': 194}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 1, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 412, 'abstract_depth': 1583, 'abstract_seconds': 0.19411991000015405, 'device_2q': 606, 'device_depth': 2360, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.14173065400063933, 'routing_inflation_2q': 1.471, 'routing_overhead_2q': 194}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 2, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 412, 'abstract_depth': 1583, 'abstract_seconds': 0.11582448499939346, 'device_2q': 608, 'device_depth': 2353, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.13798934199985524, 'routing_inflation_2q': 1.476, 'routing_overhead_2q': 196}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 3, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 412, 'abstract_depth': 1583, 'abstract_seconds': 0.1097312879992387, 'device_2q': 608, 'device_depth': 2356, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.13887991800038435, 'routing_inflation_2q': 1.476, 'routing_overhead_2q': 196}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 4, 'N_sites': 8, 'b_max': 3, 'logical_qubits': 4, 'high_level_depth': 23, 'abstract_2q': 412, 'abstract_depth': 1583, 'abstract_seconds': 0.11495418100093957, 'device_2q': 608, 'device_depth': 2356, 'device_physical_qubits': 156, 'device_qubits_used': 4, 'device_seconds': 0.14638048099914158, 'routing_inflation_2q': 1.476, 'routing_overhead_2q': 196}]",8,0.0,412,0.0,1583,0.0,0.13046555959990655,0.03570631085204108,3,0.0,607.2,1.0954451150103324,2356.4,2.5099800796022262,156,0.0,4,0.0,0.14123055300005943,0.0032713215340866883,23,0.0,4,0.0,1.474,0.002738612787525772,195.2,1.0954451150103321
