family,n_samples,auc_roc,auc_pr,auc_pr_baseline,recall_p94.5,recall_p99
dos,7458,0.983809,0.957533,0.434388,0.907214,0.827836
probe,2421,0.968775,0.822020,0.199555,0.868236,0.672036
r2l,2754,0.871327,0.611144,0.220939,0.429920,0.056645
u2r,200,0.920331,0.167307,0.020180,0.690000,0.085000
