subset,n,p50,p90,p95,p99
train_normal,45793,2.823753,5.317993,6.507990,8.801406
val_normal,8081,2.823753,5.317993,6.507990,8.825253
test_normal,9711,2.661563,5.053048,6.320453,15.403665
