variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0023360579999689435,8,2,10,0,8,8,"{""unitary"": 8}",0.0,5.551115123125783e-16,1.1259513980119564e-15,5.629756990059782e-16,True,0.004872928000054344,560,948,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""x"": 1}",0.29764516000000185,4000,37,0.027289149644442345,0.018887735737536715,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1419, ""frequency"": 0.35475}, {""bitstring_site_order"": ""00000001"", ""count"": 889, ""frequency"": 0.22225}, {""bitstring_site_order"": ""00000000"", ""count"": 702, ""frequency"": 0.1755}, {""bitstring_site_order"": ""00001001"", ""count"": 400, ""frequency"": 0.1}, {""bitstring_site_order"": ""00000100"", ""count"": 114, ""frequency"": 0.0285}]",0.050688581999907,ok
no_reuse_isometry,isometry,False,,0.0006590630000573583,8,2,10,0,8,8,"{""isometry"": 8}",1.0011901698207749e-31,1.887379141862766e-14,4.649236010828508e-14,2.324618005414254e-14,True,0.05566816199996083,410,565,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22}",0.04985123799997382,4000,39,0.017371096664441133,0.005472832653452577,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1367, ""frequency"": 0.34175}, {""bitstring_site_order"": ""00000001"", ""count"": 886, ""frequency"": 0.2215}, {""bitstring_site_order"": ""00000000"", ""count"": 770, ""frequency"": 0.1925}, {""bitstring_site_order"": ""00001001"", ""count"": 408, ""frequency"": 0.102}, {""bitstring_site_order"": ""00001011"", ""count"": 114, ""frequency"": 0.0285}]",0.08577279300004648,ok
reuse_unitary,unitary,True,,0.0012874210000290986,8,2,3,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,609,963,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""measure"": 8, ""reset"": 7, ""x"": 1}",0.008430977999978495,4000,41,0.021775740259882916,0.010914713528392739,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1413, ""frequency"": 0.35325}, {""bitstring_site_order"": ""00000001"", ""count"": 857, ""frequency"": 0.21425}, {""bitstring_site_order"": ""00000000"", ""count"": 776, ""frequency"": 0.194}, {""bitstring_site_order"": ""00001001"", ""count"": 389, ""frequency"": 0.09725}, {""bitstring_site_order"": ""00001011"", ""count"": 114, ""frequency"": 0.0285}]",0.056852245999948536,ok
reuse_isometry,isometry,True,,0.0006149099999674945,8,2,3,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,413,580,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22, ""measure"": 8, ""reset"": 7}",0.04968424200001209,4000,37,0.02202796505947239,0.013414713528392741,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1423, ""frequency"": 0.35575}, {""bitstring_site_order"": ""00000001"", ""count"": 847, ""frequency"": 0.21175}, {""bitstring_site_order"": ""00000000"", ""count"": 758, ""frequency"": 0.1895}, {""bitstring_site_order"": ""00001001"", ""count"": 401, ""frequency"": 0.10025}, {""bitstring_site_order"": ""00000100"", ""count"": 124, ""frequency"": 0.031}]",0.09644034400002965,ok
