variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.00261724400024832,6,2,8,0,6,6,"{""unitary"": 6}",0.0,5.551115123125783e-17,9.093812971505969e-17,4.5469064857529845e-17,True,0.0014212340001904522,420,710,114,"{""rz"": 356, ""sx"": 239, ""cx"": 114, ""x"": 1}",0.278560990999722,4000,28,0.015552253050299525,0.007011533517985141,0.06324555320336758,"[{""bitstring_site_order"": ""000100"", ""count"": 1774, ""frequency"": 0.4435}, {""bitstring_site_order"": ""000000"", ""count"": 1626, ""frequency"": 0.4065}, {""bitstring_site_order"": ""000010"", ""count"": 178, ""frequency"": 0.0445}, {""bitstring_site_order"": ""000101"", ""count"": 94, ""frequency"": 0.0235}, {""bitstring_site_order"": ""100000"", ""count"": 87, ""frequency"": 0.02175}]",0.049242363999837835,ok
no_reuse_isometry,isometry,False,,0.0011052159998143907,6,2,8,0,6,6,"{""isometry"": 6}",1.0350580658007338e-31,3.4083846855992306e-14,8.906934266514775e-14,4.4534671332573874e-14,True,0.033407388999876275,263,363,73,"{""rz"": 169, ""sx"": 107, ""cx"": 73, ""x"": 14}",0.03576183199947991,4000,22,0.015796009039391132,0.011324369600828332,0.06324555320336758,"[{""bitstring_site_order"": ""000100"", ""count"": 1767, ""frequency"": 0.44175}, {""bitstring_site_order"": ""000000"", ""count"": 1698, ""frequency"": 0.4245}, {""bitstring_site_order"": ""000010"", ""count"": 121, ""frequency"": 0.03025}, {""bitstring_site_order"": ""000101"", ""count"": 110, ""frequency"": 0.0275}, {""bitstring_site_order"": ""100000"", ""count"": 89, ""frequency"": 0.02225}]",0.06680882499949803,ok
reuse_unitary,unitary,True,,0.001103914999475819,6,2,3,6,17,17,"{""unitary"": 6, ""measure"": 6, ""reset"": 5}",,,,,,,455,721,114,"{""rz"": 356, ""sx"": 239, ""cx"": 114, ""measure"": 6, ""reset"": 5, ""x"": 1}",0.007991409999704047,4000,23,0.01246083447237738,0.0033243696008283252,0.06324555320336758,"[{""bitstring_site_order"": ""000100"", ""count"": 1767, ""frequency"": 0.44175}, {""bitstring_site_order"": ""000000"", ""count"": 1666, ""frequency"": 0.4165}, {""bitstring_site_order"": ""000010"", ""count"": 162, ""frequency"": 0.0405}, {""bitstring_site_order"": ""000101"", ""count"": 101, ""frequency"": 0.02525}, {""bitstring_site_order"": ""000001"", ""count"": 75, ""frequency"": 0.01875}]",0.05442286199922819,ok
reuse_isometry,isometry,True,,0.0005196110005272203,6,2,3,6,17,17,"{""isometry"": 6, ""measure"": 6, ""reset"": 5}",,,,,,,266,374,73,"{""rz"": 169, ""sx"": 107, ""cx"": 73, ""x"": 14, ""measure"": 6, ""reset"": 5}",0.032005150000259164,4000,27,0.008147101566900235,0.005175630399171682,0.06324555320336758,"[{""bitstring_site_order"": ""000100"", ""count"": 1783, ""frequency"": 0.44575}, {""bitstring_site_order"": ""000000"", ""count"": 1632, ""frequency"": 0.408}, {""bitstring_site_order"": ""000010"", ""count"": 151, ""frequency"": 0.03775}, {""bitstring_site_order"": ""000101"", ""count"": 109, ""frequency"": 0.02725}, {""bitstring_site_order"": ""100000"", ""count"": 89, ""frequency"": 0.02225}]",0.07879746000071464,ok
