threshold_name,threshold,tp,fp,fn,tn,precision,recall,f1,fpr
p94.5,6.320453,10190,493,2643,9218,0.953852,0.794047,0.866644,0.050767
p99,8.825253,7974,152,4859,9559,0.981295,0.621367,0.760914,0.015652
