variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0029568530007964,14,2,16,0,14,14,"{""unitary"": 14}",0.0,3.469446951953614e-16,2.0399106590053426e-15,1.0199553295026713e-15,True,0.2416713129996424,977,1649,266,"{""rz"": 830, ""sx"": 553, ""cx"": 266}",0.3028916510002091,4000,167,0.0514369953383676,0.005077054827923054,1.0119288512538813,"[{""bitstring_site_order"": ""00100011000000"", ""count"": 574, ""frequency"": 0.1435}, {""bitstring_site_order"": ""00000011000000"", ""count"": 557, ""frequency"": 0.13925}, {""bitstring_site_order"": ""00100000000110"", ""count"": 467, ""frequency"": 0.11675}, {""bitstring_site_order"": ""00000000000110"", ""count"": 245, ""frequency"": 0.06125}, {""bitstring_site_order"": ""00100000000000"", ""count"": 226, ""frequency"": 0.0565}]",0.08423493099962798,ok
no_reuse_isometry,isometry,False,,0.0013836830003128853,14,2,16,0,14,14,"{""isometry"": 14}",1.2450175852952223e-31,1.176836406102666e-14,1.0729745728864283e-13,5.364872864432142e-14,True,1.1522735790003935,883,1211,256,"{""rz"": 550, ""sx"": 356, ""cx"": 256, ""x"": 49}",0.10083639300046343,4000,178,0.055847499870419294,0.005950000332143102,1.0119288512538813,"[{""bitstring_site_order"": ""00100011000000"", ""count"": 609, ""frequency"": 0.15225}, {""bitstring_site_order"": ""00000011000000"", ""count"": 576, ""frequency"": 0.144}, {""bitstring_site_order"": ""00100000000110"", ""count"": 449, ""frequency"": 0.11225}, {""bitstring_site_order"": ""00000000000110"", ""count"": 230, ""frequency"": 0.0575}, {""bitstring_site_order"": ""00100000000000"", ""count"": 224, ""frequency"": 0.056}]",0.23462783600007242,ok
reuse_unitary,unitary,True,,0.0025266160000683158,14,2,3,14,41,41,"{""unitary"": 14, ""measure"": 14, ""reset"": 13}",,,,,,,1066,1676,266,"{""rz"": 830, ""sx"": 553, ""cx"": 266, ""measure"": 14, ""reset"": 13}",0.012827966999793716,4000,170,0.04884511987924846,0.0053142430514624694,1.0119288512538813,"[{""bitstring_site_order"": ""00000011000000"", ""count"": 587, ""frequency"": 0.14675}, {""bitstring_site_order"": ""00100011000000"", ""count"": 567, ""frequency"": 0.14175}, {""bitstring_site_order"": ""00100000000110"", ""count"": 457, ""frequency"": 0.11425}, {""bitstring_site_order"": ""00100000000000"", ""count"": 255, ""frequency"": 0.06375}, {""bitstring_site_order"": ""00000000000110"", ""count"": 249, ""frequency"": 0.06225}]",0.09958448399993358,ok
reuse_isometry,isometry,True,,0.0010801150001498172,14,2,3,14,41,41,"{""isometry"": 14, ""measure"": 14, ""reset"": 13}",,,,,,,887,1238,256,"{""rz"": 550, ""sx"": 356, ""cx"": 256, ""x"": 49, ""measure"": 14, ""reset"": 13}",0.09916246000011597,4000,168,0.059655670341697165,0.005942554964264664,1.0119288512538813,"[{""bitstring_site_order"": ""00100011000000"", ""count"": 602, ""frequency"": 0.1505}, {""bitstring_site_order"": ""00000011000000"", ""count"": 559, ""frequency"": 0.13975}, {""bitstring_site_order"": ""00100000000110"", ""count"": 435, ""frequency"": 0.10875}, {""bitstring_site_order"": ""00000000000110"", ""count"": 270, ""frequency"": 0.0675}, {""bitstring_site_order"": ""00100000000000"", ""count"": 247, ""frequency"": 0.06175}]",0.18636582500039367,ok
