variant,synthesis,reuse,n_transpile_seeds,transpile_seeds,per_transpile_seed,N_sites,N_sites_std,abstract_2q,abstract_2q_std,abstract_depth,abstract_depth_std,abstract_seconds,abstract_seconds_std,b_max,b_max_std,device_2q,device_2q_std,device_depth,device_depth_std,device_physical_qubits,device_physical_qubits_std,device_qubits_used,device_qubits_used_std,device_seconds,device_seconds_std,high_level_depth,high_level_depth_std,logical_qubits,logical_qubits_std,routing_inflation_2q,routing_inflation_2q_std,routing_overhead_2q,routing_overhead_2q_std
no_reuse_unitary,unitary,False,5,"[0, 1, 2, 3, 4]","[{'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 0, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 76, 'abstract_depth': 279, 'abstract_seconds': 0.012383580999994592, 'device_2q': 140, 'device_depth': 515, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.024242159000095853, 'routing_inflation_2q': 1.842, 'routing_overhead_2q': 64}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 1, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 76, 'abstract_depth': 279, 'abstract_seconds': 0.0052330629996504285, 'device_2q': 140, 'device_depth': 515, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.014743732000169985, 'routing_inflation_2q': 1.842, 'routing_overhead_2q': 64}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 2, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 76, 'abstract_depth': 279, 'abstract_seconds': 0.005043467999712448, 'device_2q': 143, 'device_depth': 530, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.015824611999960325, 'routing_inflation_2q': 1.882, 'routing_overhead_2q': 67}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 3, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 76, 'abstract_depth': 279, 'abstract_seconds': 0.00512237200018717, 'device_2q': 143, 'device_depth': 519, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.01687960999970528, 'routing_inflation_2q': 1.882, 'routing_overhead_2q': 67}, {'variant': 'no_reuse_unitary', 'synthesis': 'unitary', 'reuse': False, 'transpile_seed': 4, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 76, 'abstract_depth': 279, 'abstract_seconds': 0.0050815540007533855, 'device_2q': 136, 'device_depth': 509, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.014880951999657555, 'routing_inflation_2q': 1.789, 'routing_overhead_2q': 60}]",4,0.0,76,0.0,279,0.0,0.006572807600059604,0.003249095391017653,2,0.0,140.4,2.8809720581775866,517.6,7.797435475847171,156,0.0,6,0.0,0.0173142129999178,0.003966495882819719,5,0.0,6,0.0,1.8474,0.0382857675905812,64.4,2.8809720581775866
no_reuse_isometry,isometry,False,5,"[0, 1, 2, 3, 4]","[{'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 0, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 27, 'abstract_depth': 106, 'abstract_seconds': 0.0166160859998854, 'device_2q': 40, 'device_depth': 157, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.026798281999617757, 'routing_inflation_2q': 1.481, 'routing_overhead_2q': 13}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 1, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 27, 'abstract_depth': 106, 'abstract_seconds': 0.016077246999884665, 'device_2q': 40, 'device_depth': 157, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.023667526000281214, 'routing_inflation_2q': 1.481, 'routing_overhead_2q': 13}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 2, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 27, 'abstract_depth': 106, 'abstract_seconds': 0.015447920999577036, 'device_2q': 38, 'device_depth': 147, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.024253577000308724, 'routing_inflation_2q': 1.407, 'routing_overhead_2q': 11}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 3, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 27, 'abstract_depth': 106, 'abstract_seconds': 0.016173465999600012, 'device_2q': 40, 'device_depth': 157, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.026047090999782085, 'routing_inflation_2q': 1.481, 'routing_overhead_2q': 13}, {'variant': 'no_reuse_isometry', 'synthesis': 'isometry', 'reuse': False, 'transpile_seed': 4, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 6, 'high_level_depth': 5, 'abstract_2q': 27, 'abstract_depth': 106, 'abstract_seconds': 0.015585381000164489, 'device_2q': 37, 'device_depth': 149, 'device_physical_qubits': 156, 'device_qubits_used': 6, 'device_seconds': 0.025544948999595363, 'routing_inflation_2q': 1.37, 'routing_overhead_2q': 10}]",4,0.0,27,0.0,106,0.0,0.01598002019982232,0.0004717848256674126,2,0.0,39.0,1.4142135623730951,153.4,4.979959839195493,156,0.0,6,0.0,0.025262284999917027,0.0012860651492655024,5,0.0,6,0.0,1.444,0.052325901807804526,12.0,1.4142135623730951
reuse_unitary,unitary,True,5,"[0, 1, 2, 3, 4]","[{'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 0, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 76, 'abstract_depth': 296, 'abstract_seconds': 0.005253127999822027, 'device_2q': 112, 'device_depth': 483, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.020391830000335176, 'routing_inflation_2q': 1.474, 'routing_overhead_2q': 36}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 1, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 76, 'abstract_depth': 296, 'abstract_seconds': 0.005784130999927584, 'device_2q': 112, 'device_depth': 485, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.017688252999505494, 'routing_inflation_2q': 1.474, 'routing_overhead_2q': 36}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 2, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 76, 'abstract_depth': 296, 'abstract_seconds': 0.005189089999475982, 'device_2q': 112, 'device_depth': 483, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.018035172000054445, 'routing_inflation_2q': 1.474, 'routing_overhead_2q': 36}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 3, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 76, 'abstract_depth': 296, 'abstract_seconds': 0.006575874999725784, 'device_2q': 112, 'device_depth': 483, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.017679587999737123, 'routing_inflation_2q': 1.474, 'routing_overhead_2q': 36}, {'variant': 'reuse_unitary', 'synthesis': 'unitary', 'reuse': True, 'transpile_seed': 4, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 76, 'abstract_depth': 296, 'abstract_seconds': 0.005524676999812073, 'device_2q': 112, 'device_depth': 483, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.016616619000160426, 'routing_inflation_2q': 1.474, 'routing_overhead_2q': 36}]",4,0.0,76,0.0,296,0.0,0.0056653801997526895,0.0005611827142341985,2,0.0,112.0,0.0,483.4,0.894427190999916,156,0.0,3,0.0,0.01808229239995853,0.0013965869698646985,11,0.0,3,0.0,1.474,0.0,36.0,0.0
reuse_isometry,isometry,True,5,"[0, 1, 2, 3, 4]","[{'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 0, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 27, 'abstract_depth': 108, 'abstract_seconds': 0.016833503999805544, 'device_2q': 38, 'device_depth': 152, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.02767199099980644, 'routing_inflation_2q': 1.407, 'routing_overhead_2q': 11}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 1, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 27, 'abstract_depth': 108, 'abstract_seconds': 0.017674257999715337, 'device_2q': 38, 'device_depth': 153, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.09834560400031478, 'routing_inflation_2q': 1.407, 'routing_overhead_2q': 11}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 2, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 27, 'abstract_depth': 108, 'abstract_seconds': 0.01579145100004098, 'device_2q': 38, 'device_depth': 152, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.02504160900025454, 'routing_inflation_2q': 1.407, 'routing_overhead_2q': 11}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 3, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 27, 'abstract_depth': 108, 'abstract_seconds': 0.016550103999179555, 'device_2q': 38, 'device_depth': 153, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.02479212300022482, 'routing_inflation_2q': 1.407, 'routing_overhead_2q': 11}, {'variant': 'reuse_isometry', 'synthesis': 'isometry', 'reuse': True, 'transpile_seed': 4, 'N_sites': 4, 'b_max': 2, 'logical_qubits': 3, 'high_level_depth': 11, 'abstract_2q': 27, 'abstract_depth': 108, 'abstract_seconds': 0.016616171000350732, 'device_2q': 38, 'device_depth': 152, 'device_physical_qubits': 156, 'device_qubits_used': 3, 'device_seconds': 0.02469508299964218, 'routing_inflation_2q': 1.407, 'routing_overhead_2q': 11}]",4,0.0,27,0.0,108,0.0,0.016693097599818428,0.0006748557530877935,2,0.0,38.0,0.0,152.4,0.5477225575051661,156,0.0,3,0.0,0.040109282000048554,0.03257837882638624,11,0.0,3,0.0,1.407,0.0,11.0,0.0
