variant,synthesis,reuse,N_sites,b_max,logical_qubits,high_level_depth,abstract_2q,abstract_depth,abstract_seconds,device_2q,device_depth,device_physical_qubits,device_qubits_used,device_seconds,routing_inflation_2q,routing_overhead_2q
no_reuse_unitary,unitary,False,8,2,10,9,152,561,0.014445897000086916,297,1066,133,10,0.029921528999921065,1.954,145
no_reuse_isometry,isometry,False,8,2,10,9,118,411,0.04821380999987923,208,750,133,10,0.06314653599997655,1.763,90
reuse_unitary,unitary,True,8,2,3,23,152,609,0.007492909999882613,220,980,133,3,0.02033079800003179,1.447,68
reuse_isometry,isometry,True,8,2,3,23,118,413,0.04599798699996427,201,786,133,3,0.05997733499998503,1.703,83
