variant,synthesis,reuse,N_sites,b_max,logical_qubits,high_level_depth,abstract_2q,abstract_depth,abstract_seconds,device_2q,device_depth,device_physical_qubits,device_qubits_used,device_seconds,routing_inflation_2q,routing_overhead_2q
no_reuse_unitary,unitary,False,4,2,6,5,76,279,0.013987999000001139,142,527,133,6,0.02375760299999996,1.868,66
no_reuse_isometry,isometry,False,4,2,6,5,27,104,0.017036593999996796,40,149,133,6,0.027510286000001827,1.481,13
reuse_unitary,unitary,True,4,2,3,11,76,298,0.006222559000001127,112,480,133,3,0.017496436999998366,1.474,36
reuse_isometry,isometry,True,4,2,3,11,27,107,0.01559978600000278,38,154,133,3,0.024988311000001318,1.407,11
