variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0023000040000056288,14,2,16,0,14,14,"{""unitary"": 14}",0.0,6.591949208711867e-17,1.2721909265687715e-15,6.360954632843857e-16,True,0.24574113799999964,979,1661,266,"{""rz"": 835, ""sx"": 559, ""cx"": 266, ""x"": 1}",0.2562717819999989,4000,702,0.1585351022423261,0.0031628993881863306,1.0119288512538813,"[{""bitstring_site_order"": ""01101100000110"", ""count"": 109, ""frequency"": 0.02725}, {""bitstring_site_order"": ""01101101000000"", ""count"": 100, ""frequency"": 0.025}, {""bitstring_site_order"": ""00011111111000"", ""count"": 98, ""frequency"": 0.0245}, {""bitstring_site_order"": ""01101110000110"", ""count"": 91, ""frequency"": 0.02275}, {""bitstring_site_order"": ""00011101111000"", ""count"": 89, ""frequency"": 0.02225}]",0.08555801599999313,ok
no_reuse_isometry,isometry,False,,0.0010531669999807036,14,2,16,0,14,14,"{""isometry"": 14}",1.1682984621865087e-31,1.7694179454963432e-15,9.887788511250785e-14,4.9438942556253923e-14,True,1.0333902609999939,876,1203,252,"{""rz"": 545, ""sx"": 364, ""cx"": 252, ""x"": 42}",0.10046726400000239,4000,740,0.17243659451882962,0.004693233003492933,1.0119288512538813,"[{""bitstring_site_order"": ""01101101000000"", ""count"": 122, ""frequency"": 0.0305}, {""bitstring_site_order"": ""01101100000110"", ""count"": 105, ""frequency"": 0.02625}, {""bitstring_site_order"": ""00011101111000"", ""count"": 104, ""frequency"": 0.026}, {""bitstring_site_order"": ""00011111111000"", ""count"": 98, ""frequency"": 0.0245}, {""bitstring_site_order"": ""01101110000110"", ""count"": 89, ""frequency"": 0.02225}]",0.23210732300000814,ok
reuse_unitary,unitary,True,,0.002550423000002411,14,2,3,14,41,41,"{""unitary"": 14, ""measure"": 14, ""reset"": 13}",,,,,,,1070,1688,266,"{""rz"": 835, ""sx"": 559, ""cx"": 266, ""measure"": 14, ""reset"": 13, ""x"": 1}",0.012335446999998112,4000,737,0.17454807114237078,0.003946992420237687,1.0119288512538813,"[{""bitstring_site_order"": ""00011111111000"", ""count"": 113, ""frequency"": 0.02825}, {""bitstring_site_order"": ""01101100000110"", ""count"": 113, ""frequency"": 0.02825}, {""bitstring_site_order"": ""01101101000000"", ""count"": 103, ""frequency"": 0.02575}, {""bitstring_site_order"": ""01101111000000"", ""count"": 90, ""frequency"": 0.0225}, {""bitstring_site_order"": ""00011101111000"", ""count"": 81, ""frequency"": 0.02025}]",0.09968372400001613,ok
reuse_isometry,isometry,True,,0.0009802990000196132,14,2,3,14,41,41,"{""isometry"": 14, ""measure"": 14, ""reset"": 13}",,,,,,,879,1230,252,"{""rz"": 545, ""sx"": 364, ""cx"": 252, ""x"": 42, ""measure"": 14, ""reset"": 13}",0.10046189900000968,4000,718,0.17340150612549562,0.0030601299641502787,1.0119288512538813,"[{""bitstring_site_order"": ""01101100000110"", ""count"": 116, ""frequency"": 0.029}, {""bitstring_site_order"": ""00011111111000"", ""count"": 103, ""frequency"": 0.02575}, {""bitstring_site_order"": ""01101101000000"", ""count"": 100, ""frequency"": 0.025}, {""bitstring_site_order"": ""00011101111000"", ""count"": 95, ""frequency"": 0.02375}, {""bitstring_site_order"": ""01101111000000"", ""count"": 93, ""frequency"": 0.02325}]",0.1816620929999999,ok
