variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.001889361000394274,8,2,10,0,8,8,"{""unitary"": 8}",0.0,1.1102230246251565e-16,1.6490981709990397e-15,8.245490854995199e-16,True,0.004056783000123687,559,942,152,"{""rz"": 474, ""sx"": 315, ""cx"": 152, ""x"": 1}",0.2780470070001684,4000,171,0.06708023608162399,0.006650860883849551,0.12649110640673517,"[{""bitstring_site_order"": ""00111000"", ""count"": 191, ""frequency"": 0.04775}, {""bitstring_site_order"": ""11110011"", ""count"": 173, ""frequency"": 0.04325}, {""bitstring_site_order"": ""11111000"", ""count"": 169, ""frequency"": 0.04225}, {""bitstring_site_order"": ""00000111"", ""count"": 169, ""frequency"": 0.04225}, {""bitstring_site_order"": ""11000011"", ""count"": 163, ""frequency"": 0.04075}]",0.05108617999940179,ok
no_reuse_isometry,isometry,False,,0.0006571479998456198,8,2,10,0,8,8,"{""isometry"": 8}",1.1163448467405382e-31,2.033095913844818e-15,2.8377143685239284e-14,1.4188571842619642e-14,True,0.05727931000001263,416,568,118,"{""rz"": 266, ""sx"": 166, ""cx"": 118, ""x"": 18}",0.051566223000008904,4000,171,0.054809976469785214,0.005659393535942365,0.12649110640673517,"[{""bitstring_site_order"": ""00111000"", ""count"": 208, ""frequency"": 0.052}, {""bitstring_site_order"": ""11111000"", ""count"": 178, ""frequency"": 0.0445}, {""bitstring_site_order"": ""11110011"", ""count"": 177, ""frequency"": 0.04425}, {""bitstring_site_order"": ""11000011"", ""count"": 170, ""frequency"": 0.0425}, {""bitstring_site_order"": ""00000111"", ""count"": 157, ""frequency"": 0.03925}]",0.09127533399987442,ok
reuse_unitary,unitary,True,,0.0014010029999553808,8,2,3,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,605,957,152,"{""rz"": 474, ""sx"": 315, ""cx"": 152, ""measure"": 8, ""reset"": 7, ""x"": 1}",0.008493101000567549,4000,168,0.0601096752045072,0.005060418766650407,0.12649110640673517,"[{""bitstring_site_order"": ""00111000"", ""count"": 223, ""frequency"": 0.05575}, {""bitstring_site_order"": ""11111000"", ""count"": 202, ""frequency"": 0.0505}, {""bitstring_site_order"": ""00000111"", ""count"": 174, ""frequency"": 0.0435}, {""bitstring_site_order"": ""11000011"", ""count"": 168, ""frequency"": 0.042}, {""bitstring_site_order"": ""11110011"", ""count"": 160, ""frequency"": 0.04}]",0.05519258799995441,ok
reuse_isometry,isometry,True,,0.0006333100000119884,8,2,3,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,420,583,118,"{""rz"": 266, ""sx"": 166, ""cx"": 118, ""x"": 18, ""measure"": 8, ""reset"": 7}",0.051251476000288676,4000,170,0.058361393440279075,0.00482226009042145,0.12649110640673517,"[{""bitstring_site_order"": ""00111000"", ""count"": 222, ""frequency"": 0.0555}, {""bitstring_site_order"": ""11111000"", ""count"": 182, ""frequency"": 0.0455}, {""bitstring_site_order"": ""11110011"", ""count"": 177, ""frequency"": 0.04425}, {""bitstring_site_order"": ""11000011"", ""count"": 165, ""frequency"": 0.04125}, {""bitstring_site_order"": ""00111100"", ""count"": 161, ""frequency"": 0.04025}]",0.09594681399994442,ok
