variant,synthesis,reuse,N_sites,b_max,logical_qubits,high_level_depth,abstract_2q,abstract_depth,abstract_seconds,device_2q,device_depth,device_physical_qubits,device_qubits_used,device_seconds,routing_inflation_2q,routing_overhead_2q
no_reuse_unitary,unitary,False,14,2,16,15,266,980,0.020158670999990136,536,1882,133,16,0.04512273400001732,2.015,270
no_reuse_isometry,isometry,False,14,2,16,15,252,877,0.09776442499997984,452,1616,133,16,0.1247457000000054,1.794,200
reuse_unitary,unitary,True,14,2,3,41,266,1070,0.011538190000010218,382,1722,133,3,0.028376995000002125,1.436,116
reuse_isometry,isometry,True,14,2,3,41,252,879,0.09556621299998369,449,1754,133,3,0.19425079199999118,1.782,197
