variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.001743906000001516,8,3,11,0,8,8,"{""unitary"": 8}",0.0,5.551115123125783e-17,7.752897626003254e-16,3.876448813001627e-16,True,0.01106703400000697,2608,4192,758,"{""rz"": 2096, ""sx"": 1335, ""cx"": 758, ""x"": 3}",0.29698279500001945,4000,148,0.06071350955312929,0.006545125313567615,0.12649110640673517,"[{""bitstring_site_order"": ""00111100"", ""count"": 280, ""frequency"": 0.07}, {""bitstring_site_order"": ""11111000"", ""count"": 270, ""frequency"": 0.0675}, {""bitstring_site_order"": ""11110011"", ""count"": 196, ""frequency"": 0.049}, {""bitstring_site_order"": ""01111000"", ""count"": 163, ""frequency"": 0.04075}, {""bitstring_site_order"": ""00001110"", ""count"": 153, ""frequency"": 0.03825}]",0.05339643600001409,ok
no_reuse_isometry,isometry,False,,0.0013476280000190854,8,3,11,0,8,8,"{""isometry"": 8}",1.7496875929988273e-31,1.61259894326804e-14,1.6825340182345681e-13,8.412670091172841e-14,True,0.1378542110000467,1668,1959,405,"{""rz"": 924, ""sx"": 572, ""cx"": 405, ""x"": 58}",0.11677151700001787,4000,155,0.06041835168819338,0.007795125313567616,0.12649110640673517,"[{""bitstring_site_order"": ""00111100"", ""count"": 275, ""frequency"": 0.06875}, {""bitstring_site_order"": ""11111000"", ""count"": 250, ""frequency"": 0.0625}, {""bitstring_site_order"": ""11110011"", ""count"": 204, ""frequency"": 0.051}, {""bitstring_site_order"": ""01111000"", ""count"": 155, ""frequency"": 0.03875}, {""bitstring_site_order"": ""00000111"", ""count"": 152, ""frequency"": 0.038}]",0.15120926800000234,ok
reuse_unitary,unitary,True,,0.0018244339999569092,8,3,4,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,2655,4207,758,"{""rz"": 2096, ""sx"": 1335, ""cx"": 758, ""measure"": 8, ""reset"": 7, ""x"": 3}",0.036451578999958656,4000,146,0.07260348634710127,0.008868426953464834,0.12649110640673517,"[{""bitstring_site_order"": ""00111100"", ""count"": 328, ""frequency"": 0.082}, {""bitstring_site_order"": ""11111000"", ""count"": 229, ""frequency"": 0.05725}, {""bitstring_site_order"": ""11110011"", ""count"": 184, ""frequency"": 0.046}, {""bitstring_site_order"": ""00111000"", ""count"": 176, ""frequency"": 0.044}, {""bitstring_site_order"": ""01110011"", ""count"": 156, ""frequency"": 0.039}]",0.058227830000021186,ok
reuse_isometry,isometry,True,,0.0006568310000147903,8,3,4,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,1672,1974,405,"{""rz"": 924, ""sx"": 572, ""cx"": 405, ""x"": 58, ""measure"": 8, ""reset"": 7}",0.11713438300000689,4000,147,0.06594973798785068,0.005624480149007759,0.12649110640673517,"[{""bitstring_site_order"": ""00111100"", ""count"": 295, ""frequency"": 0.07375}, {""bitstring_site_order"": ""11111000"", ""count"": 258, ""frequency"": 0.0645}, {""bitstring_site_order"": ""11110011"", ""count"": 165, ""frequency"": 0.04125}, {""bitstring_site_order"": ""01110011"", ""count"": 149, ""frequency"": 0.03725}, {""bitstring_site_order"": ""00111000"", ""count"": 148, ""frequency"": 0.037}]",0.16936781499998688,ok
