variant,synthesis,reuse,N_sites,b_max,logical_qubits,high_level_depth,abstract_2q,abstract_depth,abstract_seconds,device_2q,device_depth,device_physical_qubits,device_qubits_used,device_seconds,routing_inflation_2q,routing_overhead_2q
no_reuse_unitary,unitary,False,10,2,12,11,190,699,0.015785660999995343,372,1324,133,12,0.029441426999994746,1.958,182
no_reuse_isometry,isometry,False,10,2,12,11,162,547,0.065920277999993,281,1010,133,12,0.08914070499999127,1.735,119
reuse_unitary,unitary,True,10,2,3,29,190,761,0.009271011999999246,270,1216,133,3,0.021659378999999035,1.421,80
reuse_isometry,isometry,True,10,2,3,29,162,549,0.0636007500000062,281,1103,133,3,0.08639784999999733,1.735,119
