family,n_samples,auc_roc,auc_pr,auc_pr_baseline,recall_p94.5,recall_p99
dos,7458,0.966280,0.917936,0.434388,0.962591,0.502682
probe,2421,0.933961,0.785234,0.199555,0.831888,0.726146
r2l,2754,0.869707,0.608271,0.220939,0.574800,0.256718
u2r,200,0.831556,0.093305,0.020180,0.445000,0.255000
