subset,n,p50,p90,p95,p99
train_normal,57242,5.676453,9.540608,10.844098,13.586504
val_normal,10101,5.695807,9.636458,11.057998,15.153106
test_normal,9711,5.676453,11.867425,13.909306,18.995665
