threshold_name,threshold,tp,fp,fn,tn,precision,recall,f1,fpr
p94.5,10.799077,10163,1164,2670,8547,0.897237,0.791943,0.841308,0.119864
p99,15.497418,4350,250,8483,9461,0.945652,0.338970,0.499054,0.025744
