variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.001882815000044502,8,3,11,0,8,8,"{""unitary"": 8}",0.0,3.885780586188048e-16,8.852075467688538e-16,4.426037733844269e-16,True,0.014350200999615481,2625,4213,758,"{""rz"": 2111, ""sx"": 1344, ""cx"": 758}",0.28255892200013477,4000,35,0.01975185679757659,0.006571577235189419,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1356, ""frequency"": 0.339}, {""bitstring_site_order"": ""00000001"", ""count"": 854, ""frequency"": 0.2135}, {""bitstring_site_order"": ""00000000"", ""count"": 755, ""frequency"": 0.18875}, {""bitstring_site_order"": ""00001001"", ""count"": 407, ""frequency"": 0.10175}, {""bitstring_site_order"": ""00000100"", ""count"": 123, ""frequency"": 0.03075}]",0.050129071999890584,ok
no_reuse_isometry,isometry,False,,0.0007176320000326086,8,3,11,0,8,8,"{""isometry"": 8}",1.2826893025229834e-31,8.19455614475828e-13,1.683908444880863e-12,8.419542224404315e-13,True,0.12893902499990872,1580,1880,412,"{""rz"": 874, ""sx"": 513, ""cx"": 412, ""x"": 81}",0.1119736720002038,4000,33,0.029013408492382195,0.016571577235189427,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1316, ""frequency"": 0.329}, {""bitstring_site_order"": ""00000001"", ""count"": 890, ""frequency"": 0.2225}, {""bitstring_site_order"": ""00000000"", ""count"": 804, ""frequency"": 0.201}, {""bitstring_site_order"": ""00001001"", ""count"": 407, ""frequency"": 0.10175}, {""bitstring_site_order"": ""00000100"", ""count"": 128, ""frequency"": 0.032}]",0.15400526800021908,ok
reuse_unitary,unitary,True,,0.0015870629999881203,8,3,4,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,2672,4228,758,"{""rz"": 2111, ""sx"": 1344, ""cx"": 758, ""measure"": 8, ""reset"": 7}",0.027896755000256235,4000,34,0.01946570361381396,0.008769359052395065,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1395, ""frequency"": 0.34875}, {""bitstring_site_order"": ""00000001"", ""count"": 836, ""frequency"": 0.209}, {""bitstring_site_order"": ""00000000"", ""count"": 769, ""frequency"": 0.19225}, {""bitstring_site_order"": ""00001001"", ""count"": 419, ""frequency"": 0.10475}, {""bitstring_site_order"": ""00000100"", ""count"": 126, ""frequency"": 0.0315}]",0.056173584000134724,ok
reuse_isometry,isometry,True,,0.0006575259999408445,8,3,4,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,1583,1895,412,"{""rz"": 874, ""sx"": 513, ""cx"": 412, ""x"": 81, ""measure"": 8, ""reset"": 7}",0.11214750099998128,4000,35,0.01995252253509603,0.005152963732095173,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1371, ""frequency"": 0.34275}, {""bitstring_site_order"": ""00000001"", ""count"": 860, ""frequency"": 0.215}, {""bitstring_site_order"": ""00000000"", ""count"": 755, ""frequency"": 0.18875}, {""bitstring_site_order"": ""00001001"", ""count"": 397, ""frequency"": 0.09925}, {""bitstring_site_order"": ""00000100"", ""count"": 161, ""frequency"": 0.04025}]",0.1616165710001951,ok
