variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0026803060009115143,8,2,10,0,8,8,"{""unitary"": 8}",0.0,5.551115123125783e-16,1.1259513980119564e-15,5.629756990059782e-16,True,0.0068096260001766495,560,948,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""x"": 1}",0.26998329399975773,4000,34,0.018310446479916774,0.007627699598995008,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1368, ""frequency"": 0.342}, {""bitstring_site_order"": ""00000001"", ""count"": 902, ""frequency"": 0.2255}, {""bitstring_site_order"": ""00000000"", ""count"": 771, ""frequency"": 0.19275}, {""bitstring_site_order"": ""00001001"", ""count"": 418, ""frequency"": 0.1045}, {""bitstring_site_order"": ""00000100"", ""count"": 121, ""frequency"": 0.03025}]",0.04987494199849607,ok
no_reuse_isometry,isometry,False,,0.000993072999335709,8,2,10,0,8,8,"{""isometry"": 8}",1.0011901698207749e-31,1.887379141862766e-14,4.649236010828508e-14,2.324618005414254e-14,True,0.055372630999045214,410,565,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22}",0.050774771998476353,4000,39,0.02414603621496016,0.014335286471607256,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1312, ""frequency"": 0.328}, {""bitstring_site_order"": ""00000001"", ""count"": 900, ""frequency"": 0.225}, {""bitstring_site_order"": ""00000000"", ""count"": 770, ""frequency"": 0.1925}, {""bitstring_site_order"": ""00001001"", ""count"": 435, ""frequency"": 0.10875}, {""bitstring_site_order"": ""00000100"", ""count"": 137, ""frequency"": 0.03425}]",0.08429192299990973,ok
reuse_unitary,unitary,True,,0.0013376120004977565,8,2,3,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,609,963,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""measure"": 8, ""reset"": 7, ""x"": 1}",0.008274621000964544,4000,38,0.021933996181635725,0.008664713528392709,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1404, ""frequency"": 0.351}, {""bitstring_site_order"": ""00000001"", ""count"": 848, ""frequency"": 0.212}, {""bitstring_site_order"": ""00000000"", ""count"": 763, ""frequency"": 0.19075}, {""bitstring_site_order"": ""00001001"", ""count"": 397, ""frequency"": 0.09925}, {""bitstring_site_order"": ""00000100"", ""count"": 131, ""frequency"": 0.03275}]",0.05810224299966649,ok
reuse_isometry,isometry,True,,0.0006706700005452149,8,2,3,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,413,580,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22, ""measure"": 8, ""reset"": 7}",0.05282292000083544,4000,35,0.015961974769357477,0.006085286471607276,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1345, ""frequency"": 0.33625}, {""bitstring_site_order"": ""00000001"", ""count"": 870, ""frequency"": 0.2175}, {""bitstring_site_order"": ""00000000"", ""count"": 790, ""frequency"": 0.1975}, {""bitstring_site_order"": ""00001001"", ""count"": 403, ""frequency"": 0.10075}, {""bitstring_site_order"": ""00000100"", ""count"": 127, ""frequency"": 0.03175}]",0.09576062399901275,ok
