variant,synthesis,reuse,N_sites,b_max,logical_qubits,high_level_depth,abstract_2q,abstract_depth,abstract_seconds,device_2q,device_depth,device_physical_qubits,device_qubits_used,device_seconds,routing_inflation_2q,routing_overhead_2q
no_reuse_unitary,unitary,False,8,2,10,9,152,560,0.016240750000179105,297,1061,133,10,0.03444744099942909,1.954,145
no_reuse_isometry,isometry,False,8,2,10,9,118,417,0.051829205000103684,209,753,133,10,0.07067596199976833,1.771,91
reuse_unitary,unitary,True,8,2,3,23,152,605,0.007549386999926355,220,971,133,3,0.02330964100019628,1.447,68
reuse_isometry,isometry,True,8,2,3,23,118,420,0.04798712899992097,201,797,133,3,0.06534957900021254,1.703,83
