variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.007253270000092016,4,2,6,0,4,4,"{""unitary"": 4}",0.0,2.498001805406602e-16,8.881784197001252e-16,4.440892098500626e-16,True,0.0010771480001494638,278,465,76,"{""rz"": 234, ""sx"": 155, ""cx"": 76}",0.5089370910000071,4000,16,0.018928836684316004,0.006036034294396586,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 778, ""frequency"": 0.1945}, {""bitstring_site_order"": ""1101"", ""count"": 584, ""frequency"": 0.146}, {""bitstring_site_order"": ""1110"", ""count"": 473, ""frequency"": 0.11825}, {""bitstring_site_order"": ""0101"", ""count"": 455, ""frequency"": 0.11375}, {""bitstring_site_order"": ""1001"", ""count"": 336, ""frequency"": 0.084}]",0.0552569129999938,ok
no_reuse_isometry,isometry,False,,0.0005600310000772879,4,2,6,0,4,4,"{""isometry"": 4}",1.2930202651410415e-31,1.609823385706477e-15,8.586881206085195e-15,4.2934406030425976e-15,True,0.014512178999666503,103,146,27,"{""rz"": 68, ""sx"": 45, ""cx"": 27, ""x"": 6}",0.017719302999921638,4000,16,0.023764350143448847,0.01034523466713963,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 803, ""frequency"": 0.20075}, {""bitstring_site_order"": ""1101"", ""count"": 591, ""frequency"": 0.14775}, {""bitstring_site_order"": ""0101"", ""count"": 474, ""frequency"": 0.1185}, {""bitstring_site_order"": ""1110"", ""count"": 444, ""frequency"": 0.111}, {""bitstring_site_order"": ""1001"", ""count"": 335, ""frequency"": 0.08375}]",0.056507981000322616,ok
reuse_unitary,unitary,True,,0.000830825000321056,4,2,3,4,11,11,"{""unitary"": 4, ""measure"": 4, ""reset"": 3}",,,,,,,298,472,76,"{""rz"": 234, ""sx"": 155, ""cx"": 76, ""measure"": 4, ""reset"": 3}",0.006282155999997485,4000,16,0.017211194052838715,0.006636895999809017,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 744, ""frequency"": 0.186}, {""bitstring_site_order"": ""1101"", ""count"": 618, ""frequency"": 0.1545}, {""bitstring_site_order"": ""1110"", ""count"": 473, ""frequency"": 0.11825}, {""bitstring_site_order"": ""0101"", ""count"": 454, ""frequency"": 0.1135}, {""bitstring_site_order"": ""1001"", ""count"": 347, ""frequency"": 0.08675}]",0.05337963200008744,ok
reuse_isometry,isometry,True,,0.0004590210000969819,4,2,3,4,11,11,"{""isometry"": 4, ""measure"": 4, ""reset"": 3}",,,,,,,107,153,27,"{""rz"": 68, ""sx"": 45, ""cx"": 27, ""x"": 6, ""measure"": 4, ""reset"": 3}",0.01546770100003414,4000,16,0.023109077422976916,0.01172493687967606,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 720, ""frequency"": 0.18}, {""bitstring_site_order"": ""1101"", ""count"": 605, ""frequency"": 0.15125}, {""bitstring_site_order"": ""0101"", ""count"": 490, ""frequency"": 0.1225}, {""bitstring_site_order"": ""1110"", ""count"": 462, ""frequency"": 0.1155}, {""bitstring_site_order"": ""0001"", ""count"": 337, ""frequency"": 0.08425}]",0.06492109700002402,ok
