variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.007125955999995881,4,2,6,0,4,4,"{""unitary"": 4}",0.0,2.498001805406602e-16,8.881784197001252e-16,4.440892098500626e-16,True,0.0015942809999955898,278,465,76,"{""rz"": 234, ""sx"": 155, ""cx"": 76}",0.5180381899999986,4000,16,0.029031364828478044,0.015595234667139607,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 824, ""frequency"": 0.206}, {""bitstring_site_order"": ""1101"", ""count"": 603, ""frequency"": 0.15075}, {""bitstring_site_order"": ""1110"", ""count"": 475, ""frequency"": 0.11875}, {""bitstring_site_order"": ""0101"", ""count"": 426, ""frequency"": 0.1065}, {""bitstring_site_order"": ""1001"", ""count"": 318, ""frequency"": 0.0795}]",0.05533577399999956,ok
no_reuse_isometry,isometry,False,,0.000552357000003667,4,2,6,0,4,4,"{""isometry"": 4}",1.2930202651410415e-31,1.609823385706477e-15,8.586881206085195e-15,4.2934406030425976e-15,True,0.014963498000000186,103,146,27,"{""rz"": 68, ""sx"": 45, ""cx"": 27, ""x"": 6}",0.019392832999997722,4000,16,0.022674545228813993,0.008724936879676057,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 752, ""frequency"": 0.188}, {""bitstring_site_order"": ""1101"", ""count"": 593, ""frequency"": 0.14825}, {""bitstring_site_order"": ""0101"", ""count"": 478, ""frequency"": 0.1195}, {""bitstring_site_order"": ""1110"", ""count"": 459, ""frequency"": 0.11475}, {""bitstring_site_order"": ""1001"", ""count"": 370, ""frequency"": 0.0925}]",0.05899797600000056,ok
reuse_unitary,unitary,True,,0.0009786740000023997,4,2,3,4,11,11,"{""unitary"": 4, ""measure"": 4, ""reset"": 3}",,,,,,,298,472,76,"{""rz"": 234, ""sx"": 155, ""cx"": 76, ""measure"": 4, ""reset"": 3}",0.0069724270000008914,4000,16,0.028000310886909435,0.007713965705603426,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 781, ""frequency"": 0.19525}, {""bitstring_site_order"": ""1101"", ""count"": 639, ""frequency"": 0.15975}, {""bitstring_site_order"": ""0101"", ""count"": 455, ""frequency"": 0.11375}, {""bitstring_site_order"": ""1110"", ""count"": 443, ""frequency"": 0.11075}, {""bitstring_site_order"": ""1001"", ""count"": 317, ""frequency"": 0.07925}]",0.058479257000001894,ok
reuse_isometry,isometry,True,,0.0005421659999953476,4,2,3,4,11,11,"{""isometry"": 4, ""measure"": 4, ""reset"": 3}",,,,,,,107,153,27,"{""rz"": 68, ""sx"": 45, ""cx"": 27, ""x"": 6, ""measure"": 4, ""reset"": 3}",0.017330746999995483,4000,16,0.01359694879000533,0.0036368959998090214,0.03162277660168379,"[{""bitstring_site_order"": ""0010"", ""count"": 750, ""frequency"": 0.1875}, {""bitstring_site_order"": ""1101"", ""count"": 601, ""frequency"": 0.15025}, {""bitstring_site_order"": ""1110"", ""count"": 476, ""frequency"": 0.119}, {""bitstring_site_order"": ""0101"", ""count"": 435, ""frequency"": 0.10875}, {""bitstring_site_order"": ""1001"", ""count"": 334, ""frequency"": 0.0835}]",0.06896235700000375,ok
