variant,synthesis,reuse,build_error,build_seconds,N_sites,b_max,num_qubits,num_clbits,high_level_depth,high_level_size,high_level_ops,statevector_leakage,statevector_max_abs_err,statevector_l1_err,statevector_tvd,statevector_exact_match,statevector_seconds,transpiled_depth,transpiled_size,two_qubit_gates,gate_breakdown,transpile_seconds,shots,num_observed_bitstrings,sample_tvd_vs_mps,sample_max_abs_err_vs_mps,sample_mc_noise_scale,top_counts,sampling_seconds,status
no_reuse_unitary,unitary,False,,0.0018208599994977703,8,2,10,0,8,8,"{""unitary"": 8}",0.0,5.551115123125783e-16,1.1259513980119564e-15,5.629756990059782e-16,True,0.006667674000709667,560,948,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""x"": 1}",0.281958374000169,4000,37,0.020878122275075083,0.00916471352839271,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1406, ""frequency"": 0.3515}, {""bitstring_site_order"": ""00000001"", ""count"": 843, ""frequency"": 0.21075}, {""bitstring_site_order"": ""00000000"", ""count"": 797, ""frequency"": 0.19925}, {""bitstring_site_order"": ""00001001"", ""count"": 401, ""frequency"": 0.10025}, {""bitstring_site_order"": ""00000100"", ""count"": 125, ""frequency"": 0.03125}]",0.048311282000213396,ok
no_reuse_isometry,isometry,False,,0.000879199000337394,8,2,10,0,8,8,"{""isometry"": 8}",1.0011901698207749e-31,1.887379141862766e-14,4.649236010828508e-14,2.324618005414254e-14,True,0.056305977999727475,410,565,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22}",0.04989748099978897,4000,34,0.024244183336326896,0.010335286471607252,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1328, ""frequency"": 0.332}, {""bitstring_site_order"": ""00000001"", ""count"": 856, ""frequency"": 0.214}, {""bitstring_site_order"": ""00000000"", ""count"": 814, ""frequency"": 0.2035}, {""bitstring_site_order"": ""00001001"", ""count"": 408, ""frequency"": 0.102}, {""bitstring_site_order"": ""00000100"", ""count"": 111, ""frequency"": 0.02775}]",0.08344436200059135,ok
reuse_unitary,unitary,True,,0.0013714060005440842,8,2,3,8,23,23,"{""unitary"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,609,963,152,"{""rz"": 476, ""sx"": 319, ""cx"": 152, ""measure"": 8, ""reset"": 7, ""x"": 1}",0.008297513000798062,4000,36,0.021961933623256144,0.008622300401005006,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1374, ""frequency"": 0.3435}, {""bitstring_site_order"": ""00000001"", ""count"": 837, ""frequency"": 0.20925}, {""bitstring_site_order"": ""00000000"", ""count"": 747, ""frequency"": 0.18675}, {""bitstring_site_order"": ""00001001"", ""count"": 403, ""frequency"": 0.10075}, {""bitstring_site_order"": ""00000100"", ""count"": 141, ""frequency"": 0.03525}]",0.05469015599919658,ok
reuse_isometry,isometry,True,,0.0006055610010662349,8,2,3,8,23,23,"{""isometry"": 8, ""measure"": 8, ""reset"": 7}",,,,,,,413,580,118,"{""rz"": 258, ""sx"": 167, ""cx"": 118, ""x"": 22, ""measure"": 8, ""reset"": 7}",0.05001284200079681,4000,34,0.021754207967859082,0.010683043241675683,0.12649110640673517,"[{""bitstring_site_order"": ""00001000"", ""count"": 1376, ""frequency"": 0.344}, {""bitstring_site_order"": ""00000001"", ""count"": 858, ""frequency"": 0.2145}, {""bitstring_site_order"": ""00000000"", ""count"": 746, ""frequency"": 0.1865}, {""bitstring_site_order"": ""00001001"", ""count"": 442, ""frequency"": 0.1105}, {""bitstring_site_order"": ""00000100"", ""count"": 127, ""frequency"": 0.03175}]",0.09537854200061702,ok
